description,category,civic_issue
Should make a law,Traffic/Parking,1
Repair the roads here and there.,Potholes,1
Throwing plastic while traveling.,Waste/Garbage,1
Stop it,Water,1
All garbage mixed.,Waste/Garbage,1
It is difficult for us to walk alone,Streetlights,1
Our area is full of garbage please remove it,Waste/Garbage,1
Dumping garbage in road side .,Waste/Garbage,1
These sand are filled underneath a bridge.It gives more dust which is very harmful.It causes air pollution,Waste/Garbage,1
Repair the roads here and there.,Potholes,1
Near this end junction some wire are hanging.Under it logs and bags are kept which makes that place look bad,Streetlights,1
Repair the pipe likages.,Water,1
Even a simple rainfall leads to waterlogging situation in the gopalapuram corporation ground this makes us loose our PT classes and also causes mosquitoes to breed,Water,1
Repair the pipe likages.,Water,1
Repair manhole.,Potholes,1
Repair the roads here and there.,Potholes,1
Dumping garbage in road side.,Waste/Garbage,1
"If we throw garbage like this the cows come and eat it ,which affects the cow’s body",Waste/Garbage,1
Dumping garbage in road side and that are eaten by animals.,Waste/Garbage,1
Avoid this parking in the roads.,Traffic/Parking,1
"Close this place, from this open place it may be happened accidents.",Water,1
Water,Water,1
"We should not throw garbage like this,as you in the image the cow is going and eating the plastic and other waste, which chokes the air pipe of the cow and dies.",Waste/Garbage,1
Full of garbage,Waste/Garbage,1
"Full of these vans that road
",Traffic/Parking,1
Logging,Water,1
Difficult to take car in case of emergency,Traffic/Parking,1
No man holes,Potholes,1
We could save water instead of letting it run wasteed,Water,1
It creates a bad smell and doesn't decompose It takes several years to decompose,Waste/Garbage,1
Water logging is most problem in Mogappair please do something,Water,1
Help,Waste/Garbage,1
Hel,Waste/Garbage,1
Hkep,Waste/Garbage,1
All tanker when the bump into a hump most of the wate spills out this wastes water,Water,1
Polluting greenery of nature.,Waste/Garbage,1
There is no BBMP vehicle yo collect garbage. So the garbage is thrown here.,Waste/Garbage,1
Throwing garbage near transformers.,Waste/Garbage,1
Selling POP Ganesha it affects to #env and water,Waste/Garbage,1
For the past 4 days the area hasn't had anyone collecting garbage and you can see the garbage piling up in front of the houses.,Waste/Garbage,1
There is a damage in centre of the road.,Potholes,1
Dumping garbages.,Waste/Garbage,1
There is no dustbins in our area as th existing dustbins are completely damaged and do not meet with the amount of waste produced by the people.,Waste/Garbage,1
This is a site from my aunt's house. The garbage are not being cleared and it stinks if we are passing by that way and many intsects are coming due to that garbage.,Waste/Garbage,1
Air pollution due to construction,Air,1
The people are repairing the sewage line.The road has been broken because of this.That road is been blocked and if any emergency people cannot use it,Sewage,1
The drinage systum is open and dumped garbage into it,Waste/Garbage,1
This manhole is deep.At night it is not visible.This is very dangerous.People can fall inside this.This manhole is for sewage,Potholes,1
Please,Streetlights,1
The drainage waste has puffed and came up and it is  spreaded  all over. It is difficult to walk beside the waste. Many of our neighbours are affected of it foul smell. Pls take the action quickly,Sewage,1
Sewage is not maintained properly... Many waste are dumped near the sewage.. This  blocks is sewage and the water is stagnant.. Many mosquitoes breed in this water..,Sewage,1
Stones on foot path .Makes it Inaccessible,Traffic/Parking,1
These bikes are parked wrongly.The people there are facing difficulties due to this.Some bikes are parked long before.The bikes make the road smaller.It covers the road.,Traffic/Parking,1
Makes road look very dirty,Waste/Garbage,1
"The garbage is not cleared regularly... This garbage pollutes the land.... Due to plastics dumped ,rain water cannot seep into the ground...",Waste/Garbage,1
These garbage which is thrown on the sides of road are more.It tempts the people to put the garbage there.The leaves are dried.,Waste/Garbage,1
The public dustbin the roads are not cleared properly...The dustbins are fully dumped... The wastes are spilled all around... Many animals are affected through this,Waste/Garbage,1
"This type of factory smoke pollutes the air... The factory should be situated away from residential areas and forests...
This causes air pollution and also causes many harmful diseases...",Air,1
Garbage dumped near the sewage lines... Sewage are released near houses.. Many people affected due to this...,Waste/Garbage,1
There is no road in this street.people face difficulties due to this.Elder people skip and fall in these area.Some garbage is also dumped in the side of these road,Waste/Garbage,1
There is a street light problem in our street. We can't walk in the road. Organism like snake are roaming there. Please do the needful,Streetlights,1
Waste on roads,Waste/Garbage,1
Requesting to clear garbage,Waste/Garbage,1
It's not proper to do this,Waste/Garbage,1
It's not fair,Waste/Garbage,1
It's not the right way to do,Waste/Garbage,1
Not properly disposed,Waste/Garbage,1
Beside a house,Waste/Garbage,1
Soil has spoiled,Waste/Garbage,1
Garbage dumped in the soil,Waste/Garbage,1
Road is not proper,Sewage,1
Clearing garbage,Waste/Garbage,1
Drainage water is leaking in our apartment which is very smelly and no one cares about it,Sewage,1
Cleaning the garbage,Waste/Garbage,1
Roadside bin not cleared,Waste/Garbage,1
Dustbin on the side of the road is not maintained and the garbage is overflowing.,Waste/Garbage,1
These dry leaves are filled in nearly half of the road.It do not allow cars and bikes to come both the sides.Some branches which is sharp scratches people,Waste/Garbage,1
"People dumping garbage in vacant plot
",Waste/Garbage,1
These bikes were parked long Ago.Some bikes are frequently parked here.These bikes are parked along half of the road.,Traffic/Parking,1
Air pollution causes many disease like asthma. Air pollution can be reduced by using bycycle.,Air,1
Garbage is dumped in the sides of road and even the road is in bad condition.People finds problem in the road and in the garbage.people also park wrongly.,Waste/Garbage,1
"In our street there is no street light. Old people cannot see and walk in the road. childrens cannot play in the roadproperly
",Streetlights,1
The garbage in the sand makes so slippery.The sand is spread on the road.small stones only make the road slippery.It is difficult to go in there bikes.,Waste/Garbage,1
In our street there is so many waters are leaking. So i am reporting to stop the wwter leaking problem,Water,1
Im our street there is so many air pollutions.so please band car van motor bike and factory etc.,Air,1
Here this is dumped with lot of garbage,Waste/Garbage,1
The repair in sewage makes the road blocked.The repair of sewage is also taking much Time to complete.,Sewage,1
In the corner of roads garbage is dumped.The tree is also bent facing the road.The garbage in the side of the toad is increasingly day by day and people think like it is a place to put garbage.,Waste/Garbage,1
There is garbage dumped in the sides of the road and even there is no road for smooth transport.,Waste/Garbage,1
Garbage dumped near joy allukas,Waste/Garbage,1
These garbage is dumped on land in a public park.So people do not prefer to use that park.The equipment of that park is broken.,Waste/Garbage,1
Due to banners no space to walk,Streetlights,1
Parking vehicles in Street and there is no space to go,Traffic/Parking,1
"Nowadays water is not available to drink and bath here and by the way the season also  changed so I requested to supply water connections and  supply the water  in underground way
Thank you",Water,1
"We can save some liters of water per day, but no one can started to save the water. So I grant you by the way we should start saving water.",Water,1
This garbage dump has been there since two years and no one cares about it,Waste/Garbage,1
"Stagnant water in Kodigehalli underpass connecting to thindlu. Though it was opened only 3-4 months ago, water is usually stagnant in this underpass.
",Sewage,1
The cable is hanging in the post.It is very dangerous which can cause shock.At night the cable is not visible.,Streetlights,1
The broken rocks and stones makes the air dirty when there is wind.These rocks make people fall.There are even huge rocks.,Waste/Garbage,1
Lots and lots of garbages are dumped here that too not in the dustbin only outside the dustbin. It stinks and all the cows and other domestic animals there eat this which is unhealthy for them.,Waste/Garbage,1
This place you see was gull of trees and they cut then all to build some office,Waste/Garbage,1
These cars were parked wrongly.Some cars are there long ago and some are parked now.,Traffic/Parking,1
The sewage repair has been started.The place is blocked and no cars can go,Sewage,1
Not used by anyone left on the foot path.,Traffic/Parking,1
Ty vy,Potholes,1
This picture was taken near Bangalore and Chennai highway look at this pollution in the road is more than the pollution in Chennai.,Air,1
Garbage is dumped in vacant plot.The place is full of bad smell.The place is in very bad conditions.,Waste/Garbage,1
The garbage which is dumped in this place is sands and cement.The cement causes air pollution when wind the sand and cement is been spread near that place.,Waste/Garbage,1
